丢三落四|形容做事马虎粗心，不是丢了这个，就是忘了那个。
穷巷陋室|穷巷：偏僻的里巷；陋室：狭小的房屋。指僻陋狭小的住处。
羽翼已成|鸟的羽毛和翅膀已长全。比喻力量已经巩固。
鱼米之地|盛产鱼类及稻米等的富庶地方。
雨愁烟恨|烟雨所引起的人的惆怅哀愁。
问诸水滨|滨：水边。比喻不承担责任或两者不相干。
步斗踏罡|道士礼拜星宿、召遣神灵的一种动作。其步行转折，宛如踏在罡星斗宿之上，故称。罡，北斗七星之柄。斗，北斗星。
参伍错纵|指交互错杂。同“参伍错综”。
东闯西走|指没有目的和方向地四处闯荡。
杯水粒粟|一杯水，一粒粟。指极少量的饮食。
风声鹤唳，草木皆兵|唳：鸟鸣。听到风声和鹤叫声，都疑心是追兵。形容人在惊慌时疑神疑鬼。
暴殄天物|暴：损害，糟蹋；殄：灭绝；天物：指自然生物。原指残害灭绝天生万物。后指任意糟蹋东西，不知爱惜。
布帛菽粟|帛：丝织品；菽：豆类；粟：小米，泛指粮食。指生活必需品。比喻极平常而又不可缺少的东西。
自讨没趣|做事不得当，反使自己难堪窘迫。
云屯鸟散|如云聚集，如鸟飞散。形容众多的人忽聚忽散。
一是一，二是二|形容说话老老实实，毫不含糊。
循名责实|循：依照；责：要求。按着名称或名义去寻找实际内容，使得名实相符。
鹊巢鸠佔|本喻女子出嫁，住在夫家。后比喻强占别人的房屋、土地、妻室等。同“鹊巢鸠居”。
精神恍忽|恍忽：糊里糊涂的样子。形容神思不定或神志不清。
重明继焰|指光焰相继，长明不息。
搀行夺市|跨行业抢生意。比喻越权夺职。
靡靡之音|靡靡：柔弱，萎靡不振。使人萎靡不振的音乐。指颓废的、低级趣味的乐曲。
服田力穑|服：从事；穑：收获谷物。指努力从事农业生产。
铆是铆|某个钉子一定要安在相应的铆处，不能有差错。形容对事认真，毫不含糊。
乱作胡为|犹胡作非为。不顾法纪或舆论，毫无顾忌地做坏事。
后会无期|期：时间。以后何时相会还没有一定的日期。
一呼百应|一个人呼喊，马上有很多人响应。
再造之恩|再造：再生。象救了自己性命那样大的恩德。
憎爱分明|憎：恨。恨什么，爱什么，界限清楚，态度鲜明。
人浮于事|浮：超过。原指人的才德高过所得俸禄的等级。后指工作中人员过多或人多事少。
波波碌碌|奔走忙碌的样子。
仁言利博|博：多，广。指有仁德的人说一句话，别人就能得到很大的好处。
门不停宾|宾：宾客。门外不停留客人。形容勤于待客。
风驰雨骤|形容像风雨一样迅捷猛烈。
一榻胡涂|形容混乱或败坏到了不可收拾的程度。同“一塌糊涂”。
遁天倍情|指违背天然之性而加添流俗之情。一说，违背天性与真情。倍，通“背”。
祸福无门|无门：没有定数。指灾祸和幸福不是注定的，都是人们自己造成的。
疾如雷电|快提就像雷鸣闪电。形容形势发展很迅速。
拿粗夹细|比喻惹事生非。
大路椎轮|大辂，古代华美的大车。椎轮，无辐条的原始车轮。指大辂由椎轮逐步演变而成，比喻事物的进化，由简到繁，由粗至精。后人亦称始创者为大辂椎轮。
撞头磕脑|比喻碰壁，行不通。
心惊胆落|形容十分害怕。同“心惊胆战”。
超群绝伦|伦：同辈。超出一般人，没有可以相比的。
重足而立，侧目而视|重足：双脚并拢；侧目：斜着眼睛。形容畏惧而愤恨的样子。
钟鼎山林|比喻富贵和隐逸。
无言可对|对：对答，回答。没有话来回答。
无为而治|无为：无所作为；治：治理。自己无所作为而使天下得到治理。原指舜当政的时候，沿袭尧的主张，不做丝毫改变。后泛指以德化民。
成群打伙|指众多的人或动物聚结成一群群、一伙伙。
千载一弹|极言彼此交情深厚，甚为难得。
避人眼目|指避免走漏消息。同“避人耳目”。
徇私舞弊|徇：曲从；舞：舞弄，耍花样。为了私人关系而用欺骗的方法做违法乱纪的事。
柳娇花媚|形容女子娇娆妩媚。
一介不苟|形容廉洁、守法，不是自己应该得到的一点都不要。同“一介不取”。
哀哀父母|可哀呀可哀，我的父母啊！原指古时在暴政下的人民终年在外服劳役，对父母病痛、老死不能照料而悲哀。
驱羊战狼|比喻以弱击强。
闷葫芦|比喻很难猜透而令人纳闷的话或事情。
光华夺目|犹光彩夺目。形容鲜艳耀眼。
忧心忡忡|忡忡：忧虑不安的样子。形容心事重重，非常忧愁。
担雪填井|挑雪去填塞水井。比喻徒劳无功。
鱼游濠上|表示纵情山水、逍遥遨游。
三拳两脚|形容不多几下拳打脚踢。
心灰意懒|心、意：心思，意志；灰、懒：消沉，消极。灰心失望，意志消沉。
上援下推|上面牵引下面推。比喻推荐引进。
好景不常|景：光景，时机。美好的光景不能永远存在。多用于对世事变迁的感叹。
风轻云淡|微风轻拂，浮云淡薄。形容天气晴好。同“风轻云净”、“云淡风轻”。
骑上扬州鹤|比喻欲集做官、发财、成仙于一身，或形容贪婪、妄想。同“骑鹤上扬州”。
龙翔虎跃|比喻奋发有为。
扫穴犁庭|扫荡其居处，犁平其庭院。比喻彻底摧毁敌方。
酒绿灯红|灯光酒色，红绿相映，令人目眩神迷。形容奢侈糜烂的生活。
两次三番|多次，好几次。
狼狈万状|狼狈：窘迫的样子；万状：多种样子。形容极其困顿、窘迫。
面红耳赤|脸笔耳朵都红了。形容因激动或羞惭而脸色发红。
河鱼天雁|古传鱼雁都能传递书信，后即以之借指传送书信者。
不言而信|旧指君子不用说什么就能得到别人的信任。形容有崇高的威望。
无名英雄|姓名不被人知道的英雄人物。也指埋头苦干的人。
茶饭无心|没有心怀喝茶吃饭。形容心情苦闷。
全神贯注|贯注：集中。全部精神集中在一点上。形容注意力高度集中。
奸淫掳掠|奸淫妇女，掠夺财物。
落草为寇|寇：盗贼。旧指逃入山林做强盗。
魂飞神丧|形容惊恐万分，极端害怕。同“魂飞魄散”。
大展经纶|经纶：整理丝缕，比喻治理国家，也指政治才能。充分施展政治才能。
嫁狗随狗|比喻女子只能顺从丈夫。
秤薪而爨|薪：柴；爨：烧火煮饭。比喻只注意小事，不从大处着眼。
人为刀俎|刀俎：刀和刀砧板，宰割的工具。比喻生杀的权掌握在别人手里，自己处在被宰割的地位。
运筹帏幄|指在后方决定作战策略。
星移斗转|斗：北斗星。星斗变动位置。指季节或时间的变化。
打人骂狗|对人滥打乱骂，摆尽威风。
上天入地|升上天空，钻入地下。形容神通广大。也比喻为实现某种目的而四处奔走。
见智见仁|对同一个问题，不同的人从不同的立场或角度有不同的看法。
各不相谋|谋：商量，计义。各自按照自己的意思办事，不互相商量。
无所重轻|没有什么重要。
百世不易|千秋万代永不改变。
戴玄履黄|犹戴天履地。玄指天，黄指地。形容人活在天地之间。
概莫能外|概：全。一概不能除外。指都在所指范围之内。
展眼舒眉|眉眼舒展。形容称心遂意的样子。
不足为虑|不值得忧虑担心。
未艾方兴|方兴未艾。指正在蓬勃向前发展。
天成地平|成：成功；平：治平。原指禹治水成功而使天之生物得以有成。后常比喻一切安排妥帖。
对症发药|针对病根下药。比喻针对缺点错误采取相应办法。
男女老小|泛指所有的人。
眼疾手快|形容做事机警敏捷。
惠然肯来|惠：赐，敬辞。用作欢迎客人来临的客气话。
绳锯木断|用绳当锯子，也能把木头锯断。比喻力量虽小，只要坚持下去，事情就能成功。
以求一逞|逞：如愿，称心如意。指企图达到不正当的目的。
冰解壤分|冰冻消融，土壤分解。比喻障碍消除。
不堪设想|未来情况不能想象。指预料事情会发展到很坏的地步。
心满原足|形容心中非常满意。同“心满意足”。
谬妄无稽|指极端错误，毫无根据。
无关紧要|紧要：急切的，重要的。不重要，不会影响大局。
江南海北|大江之南，大海之北。形容地域广阔，
龙精虎猛|比喻精力旺盛，斗志昂扬。
违利赴名|舍去利欲而求取名声。
弄管调弦|犹弄竹弹丝。指吹奏管弦乐器。
以筦窥天|筦，同“管”。比喻同闻狭隘或看事片面。见“以管窥天”。
引首以望|抬头远望。形容殷切盼望。
得而复失|复：又，再。刚得到又失去了。
进道若踡|指前进之道反若后退。同“进道若退”。
春暖花香|形容春天美丽的景色。
头破血出|多用来形容惨败。同“头破血流”。
万应灵药|能治各种病的灵药。比喻能解决任何问题的好办法。
分崩离析|崩：倒塌；析：分开。崩塌解体，四分五裂。形容国家或集团分裂瓦解。
一双两好|比喻夫妇美好相称。
混应滥应|指随便答应别人的请求。
飘风急雨|来势急遽而猛烈的风雨。同“飘风暴雨”。
恩恩相报|用恩惠报答恩惠；把有利于人的行为回报给有恩于己的人。
酌盈剂虚|拿多余的弥补不足的或亏损的。
人为财死|旧时俗语。意思是为了追求金钱，连生命都可以不要。
战战兢兢|战战：恐惧的样子；兢兢：小心谨慎的样子。形容非常害怕而微微发抖的样子。也形容小心谨慎的样子。
星飞电急|如流星飞落，如闪电急驰。形容十分急速或事情非常紧急。
衔悲茹恨|衔：含。茹：吃。胸中藏有悲痛与仇恨。亦作“衔悲蓄恨”。
魂不附体|附：依附。灵魂离开了身体。形容极端惊恐或在某种事物诱惑下失去常态。
阴谋诡计|诡：欺诈，奸滑。指暗地里策划坏的害人的坏主意。
摧枯折腐|折断枯树枝烂木头。比喻极容易做到。
兵来将敌，水来土堰|指根据具体情况，采取灵活的对付办法。
秉烛夜游|秉：执持。旧时比喻及时行乐。
假门假事|做得像真的一样。
安营扎寨|安、扎：建立，安置；寨：防守用的栅栏。指部队驻扎下来。也比喻建立临时的劳动或工作基地。
明争暗斗|明里暗里都在进行争斗。形容各用心思，互相排挤。
诛暴讨逆|诛：讨伐。讨伐凶暴、叛逆之人。
乘其不意|乘：趁，因；意：猜想，意料。利用别人没有防备的时机动手。
随近逐便|指就近，图方便。
宽洪大度|指待人宽厚，度量大，能容人。同“宽宏大度”。
蠹居棋处|比喻坏人深入社会，散布各处。
开山祖师|开山：指在名山创立寺院；祖师：第一代创业和尚。原指开创寺院的和尚。后借指某一事业的创始人。
不相为谋|谋：商量。相互之间没法商量。指彼此观点不同，不宜共同谋划事情。
动人心弦|把心比作琴，拨动了心中的琴弦。形容事物激动人心。
剸繁决剧|指裁处繁剧的政务。亦作“剸繁治剧”。
日久月深|深：长久。指时间长久。
左家娇女|指美丽可爱的少女。
不亦乐乎|乎：文言中用为疑问或反问的语气助词，这里相当于“吗”。用来表示极度、非常、淋漓尽致地意思。
行同狗彘|旧时指人无耻，行为和猪狗一样。
胆小如鼠|胆子小得象老鼠。形容非常胆小。
矫情饰行|掩饰实情，故作姿态。同“矫情饰貌”。
拿班作势|装模作样。
纡青拖紫|比喻显贵。
词严义密|措词严谨，道理周密。
归心如箭|想回家的心情象射出的箭一样快。形容回家心切。
抚躬自问|反躬自问，指自我反省。
